feature_name,horizon,year,rank_ic_mean,rank_ic_days
tsmom_20,1,2015,-8.308564134202572e-05,224
tsmom_20,1,2016,-0.003492042158122398,244
tsmom_20,1,2017,-0.017551827331321667,244
tsmom_20,1,2018,-0.012447374550887512,243
tsmom_20,1,2019,-0.01431804563889958,244
tsmom_20,1,2020,0.03106468895128354,243
tsmom_20,1,2021,-0.0304567079818938,243
tsmom_20,1,2022,-0.010527330485282456,242
tsmom_20,1,2023,-0.013965565190259306,242
tsmom_20,1,2024,0.010712925053354565,241
tsmom_20,5,2015,-0.03333992892028607,224
tsmom_20,5,2016,0.032452911387337614,244
tsmom_20,5,2017,-0.03189955763726255,244
tsmom_20,5,2018,0.010549668863845112,243
tsmom_20,5,2019,-0.0015466993279316615,244
tsmom_20,5,2020,0.07424959079884305,243
tsmom_20,5,2021,-0.039232434758327724,243
tsmom_20,5,2022,-0.03958911449557622,242
tsmom_20,5,2023,-0.02968403827944732,242
tsmom_20,5,2024,0.01357251141681099,237
tsmom_20,20,2015,-0.04333693092621664,224
tsmom_20,20,2016,0.05418973558317821,244
tsmom_20,20,2017,-0.008238755779739386,244
tsmom_20,20,2018,0.00854278433673921,243
tsmom_20,20,2019,-0.017752833185280897,244
tsmom_20,20,2020,0.0957664110426439,243
tsmom_20,20,2021,-0.09505852410314157,243
tsmom_20,20,2022,-0.02982272050934201,242
tsmom_20,20,2023,0.0015756717748830198,242
tsmom_20,20,2024,0.05929110422992514,222
csmom_20,1,2015,-0.00620620693216215,224
csmom_20,1,2016,0.0011025273789216383,244
csmom_20,1,2017,-0.011850065198745187,244
csmom_20,1,2018,-0.02165200691568261,243
csmom_20,1,2019,-0.005594827604150701,244
csmom_20,1,2020,0.015909545940050823,243
csmom_20,1,2021,-0.042531353486458374,243
csmom_20,1,2022,-0.010656861805333352,242
csmom_20,1,2023,-0.014132054863687314,242
csmom_20,1,2024,-0.0019669700092623927,241
csmom_20,5,2015,-0.03505232862375719,224
csmom_20,5,2016,0.049073139974779315,244
csmom_20,5,2017,-0.016135330971396546,244
csmom_20,5,2018,0.0041642950966067184,243
csmom_20,5,2019,0.005088293089988963,244
csmom_20,5,2020,0.048894375264598444,243
csmom_20,5,2021,-0.073575120046508,243
csmom_20,5,2022,-0.03808009161432157,242
csmom_20,5,2023,-0.03608049347760137,242
csmom_20,5,2024,0.009669440494126151,237
csmom_20,20,2015,-0.03721535409035409,224
csmom_20,20,2016,0.06646780359895114,244
csmom_20,20,2017,-0.0017514361776656856,244
csmom_20,20,2018,0.006317928480550873,243
csmom_20,20,2019,-0.01663705617917037,244
csmom_20,20,2020,0.06976344643059405,243
csmom_20,20,2021,-0.12972163858333677,243
csmom_20,20,2022,-0.05087943707622138,242
csmom_20,20,2023,0.00034749354195203185,242
csmom_20,20,2024,0.0517832626842638,222
trend_efficiency_20,1,2015,0.0035080482862219465,224
trend_efficiency_20,1,2016,0.021092565855107714,244
trend_efficiency_20,1,2017,-0.01776001652039918,244
trend_efficiency_20,1,2018,0.016196719779220593,243
trend_efficiency_20,1,2019,0.0012039229672669153,244
trend_efficiency_20,1,2020,0.01547266330827502,243
trend_efficiency_20,1,2021,0.002434430345356309,243
trend_efficiency_20,1,2022,-0.023040717408606862,242
trend_efficiency_20,1,2023,-0.004181990853018877,242
trend_efficiency_20,1,2024,-0.01067526556172261,241
trend_efficiency_20,5,2015,-0.003746402407116693,224
trend_efficiency_20,5,2016,0.043341640144918835,244
trend_efficiency_20,5,2017,-0.027824215857002742,244
trend_efficiency_20,5,2018,0.013600643715586246,243
trend_efficiency_20,5,2019,-0.03757144651717857,244
trend_efficiency_20,5,2020,0.038234068947206996,243
trend_efficiency_20,5,2021,0.017873540330591374,243
trend_efficiency_20,5,2022,-0.02673671257451215,242
trend_efficiency_20,5,2023,-0.01622739683210914,242
trend_efficiency_20,5,2024,-0.0008495139935136549,237
trend_efficiency_20,20,2015,0.028839503750218036,224
trend_efficiency_20,20,2016,0.05338207330010609,244
trend_efficiency_20,20,2017,-0.04097239736583999,244
trend_efficiency_20,20,2018,-0.018962566531744905,243
trend_efficiency_20,20,2019,-0.03940841835132395,244
trend_efficiency_20,20,2020,0.011806050095507519,243
trend_efficiency_20,20,2021,-0.013794018960253047,243
trend_efficiency_20,20,2022,-0.008687207220931562,242
trend_efficiency_20,20,2023,0.019369547431029886,242
trend_efficiency_20,20,2024,-0.04564230526410727,222
realized_vol_20,1,2015,0.02045157004747168,234
realized_vol_20,1,2016,0.04386124194419211,244
realized_vol_20,1,2017,0.030100645720992494,244
realized_vol_20,1,2018,-0.008252216126554857,243
realized_vol_20,1,2019,0.009578147485937192,244
realized_vol_20,1,2020,-0.006204459360971446,243
realized_vol_20,1,2021,0.018124318506007178,243
realized_vol_20,1,2022,0.023847255394571575,242
realized_vol_20,1,2023,0.008242193746878922,242
realized_vol_20,1,2024,-0.03135538093355422,241
realized_vol_20,5,2015,0.025406374252528098,234
realized_vol_20,5,2016,0.07843871975019516,244
realized_vol_20,5,2017,0.025413439019996396,244
realized_vol_20,5,2018,-0.02557690011925857,243
realized_vol_20,5,2019,-0.013355588957806358,244
realized_vol_20,5,2020,-0.007605157994479463,243
realized_vol_20,5,2021,0.04149558036593014,243
realized_vol_20,5,2022,0.03292251787043981,242
realized_vol_20,5,2023,0.004326202667794334,242
realized_vol_20,5,2024,-0.09436739368168101,237
realized_vol_20,20,2015,0.07240709433017126,234
realized_vol_20,20,2016,0.10777917892671991,244
realized_vol_20,20,2017,0.05236934286114614,244
realized_vol_20,20,2018,-0.028536390843755678,243
realized_vol_20,20,2019,-0.04431960570292779,244
realized_vol_20,20,2020,-0.007209656820335352,243
realized_vol_20,20,2021,0.07265228397350508,243
realized_vol_20,20,2022,0.06099778975196105,242
realized_vol_20,20,2023,-0.011516928818981604,242
realized_vol_20,20,2024,-0.1614807243283328,222
momentum_quality_20,1,2015,-0.0004365278645802498,224
momentum_quality_20,1,2016,-0.0030660424358758625,244
momentum_quality_20,1,2017,-0.018928723638406288,244
momentum_quality_20,1,2018,-0.012886246411609766,243
momentum_quality_20,1,2019,-0.013375885843339614,244
momentum_quality_20,1,2020,0.03146973981740375,243
momentum_quality_20,1,2021,-0.030631572197630158,243
momentum_quality_20,1,2022,-0.010093773311556862,242
momentum_quality_20,1,2023,-0.015213948891977537,242
momentum_quality_20,1,2024,0.0095904149659767,241
momentum_quality_20,5,2015,-0.032475307430664575,224
momentum_quality_20,5,2016,0.03320642927200304,244
momentum_quality_20,5,2017,-0.03400938769791229,244
momentum_quality_20,5,2018,0.010072336568718008,243
momentum_quality_20,5,2019,-7.514782811560673e-05,244
momentum_quality_20,5,2020,0.07524377141235379,243
momentum_quality_20,5,2021,-0.03917933506365097,243
momentum_quality_20,5,2022,-0.03997935525895886,242
momentum_quality_20,5,2023,-0.0319197639250223,242
momentum_quality_20,5,2024,0.01182842633399511,237
momentum_quality_20,20,2015,-0.044372274550845976,224
momentum_quality_20,20,2016,0.05827088212334114,244
momentum_quality_20,20,2017,-0.013890990612302086,244
momentum_quality_20,20,2018,0.008798974546100983,243
momentum_quality_20,20,2019,-0.018176577207102924,244
momentum_quality_20,20,2020,0.0951830337320388,243
momentum_quality_20,20,2021,-0.0962962962962963,243
momentum_quality_20,20,2022,-0.02820975161960095,242
momentum_quality_20,20,2023,0.0022908833506467235,242
momentum_quality_20,20,2024,0.05652526831614707,222
vol_managed_momentum_20,1,2015,0.015403345206913324,224
vol_managed_momentum_20,1,2016,-0.014162690441786504,244
vol_managed_momentum_20,1,2017,-0.029601623915568354,244
vol_managed_momentum_20,1,2018,-0.0107900750248961,243
vol_managed_momentum_20,1,2019,-0.014738091784757438,244
vol_managed_momentum_20,1,2020,0.049232341281512486,243
vol_managed_momentum_20,1,2021,-0.005489963298567587,243
vol_managed_momentum_20,1,2022,-0.006067458455304882,242
vol_managed_momentum_20,1,2023,-0.010523721120995394,242
vol_managed_momentum_20,1,2024,0.010190971809946617,241
vol_managed_momentum_20,5,2015,0.016146269405197977,224
vol_managed_momentum_20,5,2016,-0.01314748093436618,244
vol_managed_momentum_20,5,2017,-0.040155927860845896,244
vol_managed_momentum_20,5,2018,-0.00407457134575057,243
vol_managed_momentum_20,5,2019,-0.005023464068122067,244
vol_managed_momentum_20,5,2020,0.10442695816568019,243
vol_managed_momentum_20,5,2021,0.015249683003977901,243
vol_managed_momentum_20,5,2022,-0.0324222243526521,242
vol_managed_momentum_20,5,2023,-0.016106049880951285,242
vol_managed_momentum_20,5,2024,0.022129604858656827,237
vol_managed_momentum_20,20,2015,-0.00979635443921158,224
vol_managed_momentum_20,20,2016,0.036097099621689784,244
vol_managed_momentum_20,20,2017,-0.03486058568025781,244
vol_managed_momentum_20,20,2018,-0.006470869842517353,243
vol_managed_momentum_20,20,2019,-0.003527012840184125,244
vol_managed_momentum_20,20,2020,0.12207587109329787,243
vol_managed_momentum_20,20,2021,0.010382821333260094,243
vol_managed_momentum_20,20,2022,-0.0037100779693559553,242
vol_managed_momentum_20,20,2023,-0.018167109460465715,242
vol_managed_momentum_20,20,2024,0.04132319193498281,222
tsmom_60,1,2015,-0.028152028446545584,184
tsmom_60,1,2016,-0.010994798456862602,244
tsmom_60,1,2017,-0.0030789429337959064,244
tsmom_60,1,2018,-0.00020596104703214183,243
tsmom_60,1,2019,-0.006667292059452954,244
tsmom_60,1,2020,0.03661524730499166,243
tsmom_60,1,2021,-0.023734100456694725,243
tsmom_60,1,2022,0.010576077052133356,242
tsmom_60,1,2023,-0.004532960094380933,242
tsmom_60,1,2024,0.0032011917159875548,241
tsmom_60,5,2015,-0.05459667144449753,184
tsmom_60,5,2016,-0.00917722532476631,244
tsmom_60,5,2017,-0.03903300706579395,244
tsmom_60,5,2018,0.02309225706416,243
tsmom_60,5,2019,-0.0073979111147002615,244
tsmom_60,5,2020,0.07285762023124524,243
tsmom_60,5,2021,-0.044417894597106065,243
tsmom_60,5,2022,0.012278236476840986,242
tsmom_60,5,2023,-0.01963614300554335,242
tsmom_60,5,2024,-0.015996207694437794,237
tsmom_60,20,2015,-0.12617501459892763,184
tsmom_60,20,2016,-0.0156605416441482,244
tsmom_60,20,2017,-0.04728317220120499,244
tsmom_60,20,2018,0.029862411684463623,243
tsmom_60,20,2019,-0.007867416799016572,244
tsmom_60,20,2020,0.11274431908469729,243
tsmom_60,20,2021,-0.06752541690126662,243
tsmom_60,20,2022,0.054508091766661895,242
tsmom_60,20,2023,-0.03399369363572013,242
tsmom_60,20,2024,-0.029526300494042434,222
csmom_60,1,2015,-0.028072063381421784,184
csmom_60,1,2016,-0.00975376813126546,244
csmom_60,1,2017,-0.011713532372409128,244
